Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
QB,Justin Herbert (15677045),Justin Herbert,15677045,QB,6900,LAC@DEN 11/01/2020 04:05PM ET,LAC,27.76
WR,A.J. Brown (15677327),A.J. Brown,15677327,WR/FLEX,6900,TEN@CIN 11/01/2020 01:00PM ET,TEN,20.8
RB,Kareem Hunt (15677105),Kareem Hunt,15677105,RB/FLEX,6900,LV@CLE 11/01/2020 01:00PM ET,CLE,16.41
QB,Ryan Tannehill (15677046),Ryan Tannehill,15677046,QB,6800,TEN@CIN 11/01/2020 01:00PM ET,TEN,23.97
WR,Stefon Diggs (15677329),Stefon Diggs,15677329,WR/FLEX,6800,NE@BUF 11/01/2020 01:00PM ET,BUF,19.33
WR,Tyreek Hill (15677331),Tyreek Hill,15677331,WR/FLEX,6700,NYJ@KC 11/01/2020 01:00PM ET,KC,16.61
RB,Jonathan Taylor (15677107),Jonathan Taylor,15677107,RB/FLEX,6600,IND@DET 11/01/2020 01:00PM ET,IND,14.98
WR,Kenny Golladay (15677333),Kenny Golladay,15677333,WR/FLEX,6600,IND@DET 11/01/2020 01:00PM ET,DET,17.95
QB,Ben Roethlisberger (15677047),Ben Roethlisberger,15677047,QB,6600,PIT@BAL 11/01/2020 01:00PM ET,PIT,18.57
WR,Tyler Boyd (15677335),Tyler Boyd,15677335,WR/FLEX,6600,TEN@CIN 11/01/2020 01:00PM ET,CIN,17.32
TE,Travis Kelce (15677619),Travis Kelce,15677619,TE/FLEX,6600,NYJ@KC 11/01/2020 01:00PM ET,KC,17.44
WR,Justin Jefferson (15677337),Justin Jefferson,15677337,WR/FLEX,6500,MIN@GB 11/01/2020 01:00PM ET,MIN,18.45
RB,Clyde Edwards-Helaire (15677109),Clyde Edwards-Helaire,15677109,RB/FLEX,6500,NYJ@KC 11/01/2020 01:00PM ET,KC,16.36
QB,Jared Goff (15677048),Jared Goff,15677048,QB,6500,LAR@MIA 11/01/2020 01:00PM ET,LAR,19.94
WR,Cooper Kupp (15677339),Cooper Kupp,15677339,WR/FLEX,6500,LAR@MIA 11/01/2020 01:00PM ET,LAR,13.71
QB,Matthew Stafford (15677049),Matthew Stafford,15677049,QB,6400,IND@DET 11/01/2020 01:00PM ET,DET,18.48
RB,James Conner (15677111),James Conner,15677111,RB/FLEX,6400,PIT@BAL 11/01/2020 01:00PM ET,PIT,17.38
RB,Nick Chubb (15677115),Nick Chubb,15677115,RB/FLEX,6400,LV@CLE 11/01/2020 01:00PM ET,CLE,16.8
RB,Raheem Mostert (15677113),Raheem Mostert,15677113,RB/FLEX,6400,SF@SEA 11/01/2020 04:25PM ET,SF,17.08
QB,Drew Brees (15677050),Drew Brees,15677050,QB,6300,NO@CHI 11/01/2020 04:25PM ET,NO,20.45
RB,Joe Mixon (15677117),Joe Mixon,15677117,RB/FLEX,6300,TEN@CIN 11/01/2020 01:00PM ET,CIN,17.27
WR,Robert Woods (15677341),Robert Woods,15677341,WR/FLEX,6300,LAR@MIA 11/01/2020 01:00PM ET,LAR,14.43
WR,Keenan Allen (15677343),Keenan Allen,15677343,WR/FLEX,6200,LAC@DEN 11/01/2020 04:05PM ET,LAC,18.18
QB,Joe Burrow (15677051),Joe Burrow,15677051,QB,6200,TEN@CIN 11/01/2020 01:00PM ET,CIN,22.00
RB,Josh Jacobs (15677121),Josh Jacobs,15677121,RB/FLEX,6200,LV@CLE 11/01/2020 01:00PM ET,LV,16.43
RB,Chris Carson (15677119),Chris Carson,15677119,RB/FLEX,6200,SF@SEA 11/01/2020 04:25PM ET,SEA,17.5
RB,Jamaal Williams (15677123),Jamaal Williams,15677123,RB/FLEX,6100,MIN@GB 11/01/2020 01:00PM ET,GB,10.42
WR,Marquise Brown (15677345),Marquise Brown,15677345,WR/FLEX,6100,PIT@BAL 11/01/2020 01:00PM ET,BAL,12.12
QB,Baker Mayfield (15677052),Baker Mayfield,15677052,QB,6100,LV@CLE 11/01/2020 01:00PM ET,CLE,16.04
QB,Kirk Cousins (15677053),Kirk Cousins,15677053,QB,6000,MIN@GB 11/01/2020 01:00PM ET,MIN,17.75
RB,Alexander Mattison (15677125),Alexander Mattison,15677125,RB/FLEX,6000,MIN@GB 11/01/2020 01:00PM ET,MIN,8.1
RB,Jeff Wilson Jr. (15677127),Jeff Wilson Jr.,15677127,RB/FLEX,6000,SF@SEA 11/01/2020 04:25PM ET,SF,10.47
WR,Deebo Samuel (15677347),Deebo Samuel,15677347,WR/FLEX,6000,SF@SEA 11/01/2020 04:25PM ET,SF,10.48
QB,Philip Rivers (15677054),Philip Rivers,15677054,QB,5900,IND@DET 11/01/2020 01:00PM ET,IND,15.32
RB,David Montgomery (15677129),David Montgomery,15677129,RB/FLEX,5900,NO@CHI 11/01/2020 04:25PM ET,CHI,13.24
WR,Odell Beckham Jr. (15677349),Odell Beckham Jr.,15677349,WR/FLEX,5900,LV@CLE 11/01/2020 01:00PM ET,CLE,12.40
RB,Darrell Henderson Jr. (15677131),Darrell Henderson Jr.,15677131,RB/FLEX,5900,LAR@MIA 11/01/2020 01:00PM ET,LAR,12.59
QB,Nick Foles (15677055),Nick Foles,15677055,QB,5800,NO@CHI 11/01/2020 04:25PM ET,CHI,13.89
TE,Mark Andrews (15677621),Mark Andrews,15677621,TE/FLEX,5800,PIT@BAL 11/01/2020 01:00PM ET,BAL,12.38
RB,Giovani Bernard (15677133),Giovani Bernard,15677133,RB/FLEX,5800,TEN@CIN 11/01/2020 01:00PM ET,CIN,8.36
WR,Jamison Crowder (15677351),Jamison Crowder,15677351,WR/FLEX,5800,NYJ@KC 11/01/2020 01:00PM ET,NYJ,22.08
WR,Brandon Aiyuk (15677353),Brandon Aiyuk,15677353,WR/FLEX,5800,SF@SEA 11/01/2020 04:25PM ET,SF,12.65
QB,Cam Newton (15677056),Cam Newton,15677056,QB,5700,NE@BUF 11/01/2020 01:00PM ET,NE,19.95
WR,DeVante Parker (15677355),DeVante Parker,15677355,WR/FLEX,5700,LAR@MIA 11/01/2020 01:00PM ET,MIA,13.4
